N1	N2	Generation	abf_1	abf_2
0.000000	0.000000	921.000000	1.000009	1.310141
0.000000	0.000000	922.000000	2.111774	2.083389
0.000000	0.000000	923.000000	2.866352	2.146744
0.000000	0.000000	924.000000	1.000641	1.530593
0.000000	0.000000	925.000000	1.010476	1.720502
0.000000	0.000000	926.000000	1.000201	1.466078
0.000000	0.000000	927.000000	3.137123	2.163773
0.000000	0.000000	928.000000	0.999992	1.190423
0.000000	0.000000	929.000000	4.577067	2.218904
0.000000	0.000000	930.000000	1.000047	1.449948
0.000000	0.000000	931.000000	1.755966	2.041476
0.000000	0.000000	932.000000	1.013967	1.708745
0.000000	0.000000	933.000000	3.432698	2.172116
0.000000	0.000000	934.000000	1.000051	1.437325
0.000000	0.000000	935.000000	3.336987	2.170909
0.000000	0.000000	936.000000	1.127812	1.867577
0.000000	0.000000	937.000000	3.771227	2.191151
0.000000	0.000000	938.000000	1.000038	1.386821
0.000000	0.000000	939.000000	1.052684	1.812586
0.000000	0.000000	940.000000	1.000093	1.478229
0.000000	0.000000	941.000000	1.031436	1.794753
0.000000	0.000000	942.000000	1.973562	2.086491
0.000000	0.000000	943.000000	2.291498	2.101682
0.000000	0.000000	944.000000	4.694754	2.222512
0.000000	0.000000	945.000000	1.001886	1.583645
0.000000	0.000000	946.000000	2.974372	2.154807
0.000000	0.000000	947.000000	3.452740	2.178837
0.000000	0.000000	948.000000	0.999993	1.273332
0.000000	0.000000	949.000000	1.006999	1.680372
0.000000	0.000000	950.000000	0.999993	1.279593
0.000000	0.000000	951.000000	1.293134	1.972540
0.000000	0.000000	952.000000	1.022035	1.745418
0.000000	0.000000	953.000000	0.999992	1.057212
0.000000	0.000000	954.000000	1.827058	2.070222
0.000000	0.000000	955.000000	1.001715	1.596396
0.000000	0.000000	956.000000	0.999992	1.247209
0.000000	0.000000	957.000000	1.696113	2.038507
0.000000	0.000000	958.000000	1.000314	1.509871
0.000000	0.000000	959.000000	1.010572	1.721873
0.000000	0.000000	960.000000	1.132036	1.895775
0.000000	0.000000	961.000000	1.000020	1.402237
0.000000	0.000000	962.000000	1.000049	1.412701
0.000000	0.000000	963.000000	1.004101	1.642366
0.000000	0.000000	964.000000	1.000005	1.376709
0.000000	0.000000	965.000000	1.015674	1.745154
0.000000	0.000000	966.000000	0.999992	1.021530
0.000000	0.000000	967.000000	1.148559	1.913946
0.000000	0.000000	968.000000	1.382522	1.976796
0.000000	0.000000	969.000000	1.005047	1.626009
0.000000	0.000000	970.000000	1.005147	1.658895
0.000000	0.000000	971.000000	2.669760	2.138684
0.000000	0.000000	972.000000	4.719766	2.223080
0.000000	0.000000	973.000000	4.581541	2.219207
0.000000	0.000000	974.000000	1.002435	1.601379
0.000000	0.000000	975.000000	1.018641	1.743887
0.000000	0.000000	976.000000	1.004087	1.603062
0.000000	0.000000	977.000000	1.259386	1.910484
0.000000	0.000000	978.000000	1.491873	2.019343
0.000000	0.000000	979.000000	1.075846	1.836437
0.000000	0.000000	980.000000	1.072415	1.849896
0.000000	0.000000	981.000000	4.161644	2.205114
0.000000	0.000000	982.000000	0.999992	1.007188
0.000000	0.000000	983.000000	1.000886	1.523580
0.000000	0.000000	984.000000	0.999992	1.019825
0.000000	0.000000	985.000000	3.617322	2.183740
0.000000	0.000000	986.000000	0.999993	1.292284
0.000000	0.000000	987.000000	1.001574	1.585533
0.000000	0.000000	988.000000	1.000581	1.531937
0.000000	0.000000	989.000000	1.361021	1.982710
0.000000	0.000000	990.000000	2.068421	2.084537
0.000000	0.000000	991.000000	1.003945	1.600376
0.000000	0.000000	992.000000	1.184986	1.912678
0.000000	0.000000	993.000000	1.035052	1.779815
0.000000	0.000000	994.000000	0.999992	1.042355
0.000000	0.000000	995.000000	2.672850	2.134577
0.000000	0.000000	996.000000	3.856537	2.190920
0.000000	0.000000	997.000000	1.000187	1.457833
0.000000	0.000000	998.000000	1.015969	1.747557
0.000000	0.000000	999.000000	4.806785	2.225905
0.000000	0.000000	1000.000000	1.018043	1.742882
