Environment	abf_r	abf_b
53.000000	3.117560	0.829403
53.100000	3.076983	0.828313
53.200000	3.035573	0.827187
53.300000	2.993373	0.826027
53.400000	2.950425	0.824833
53.500000	2.906770	0.823604
53.600000	2.862453	0.822340
53.700000	2.817517	0.821041
53.800000	2.772004	0.819709
53.900000	2.725958	0.818342
54.000000	2.679423	0.816940
54.100000	2.632441	0.815505
54.200000	2.585057	0.814036
54.300000	2.537312	0.812533
54.400000	2.489251	0.810996
54.500000	2.440914	0.809425
54.600000	2.392345	0.807821
54.700000	2.343585	0.806183
54.800000	2.294675	0.804513
54.900000	2.245655	0.802808
55.000000	2.196567	0.801071
55.100000	2.147448	0.799301
55.200000	2.098339	0.797498
55.300000	2.049276	0.795663
55.400000	2.000297	0.793795
55.500000	1.951439	0.791894
55.600000	1.902737	0.789961
55.700000	1.854225	0.787996
55.800000	1.805937	0.785999
55.900000	1.757906	0.783970
56.000000	1.710164	0.781910
56.100000	1.662741	0.779817
56.200000	1.615667	0.777694
56.300000	1.568970	0.775539
56.400000	1.522678	0.773353
56.500000	1.476817	0.771136
56.600000	1.431413	0.768888
56.700000	1.386489	0.766610
56.800000	1.342069	0.764301
56.900000	1.298174	0.761962
57.000000	1.254825	0.759592
57.100000	1.212042	0.757193
57.200000	1.169842	0.754764
57.300000	1.128244	0.752305
57.400000	1.087262	0.749817
57.500000	1.046913	0.747299
57.600000	1.007208	0.744753
57.700000	0.968162	0.742177
57.800000	0.929786	0.739573
57.900000	0.892089	0.736940
58.000000	0.855082	0.734279
58.100000	0.818772	0.731590
58.200000	0.783167	0.728873
58.300000	0.748273	0.726128
58.400000	0.714094	0.723355
58.500000	0.680635	0.720555
58.600000	0.647899	0.717728
58.700000	0.615888	0.714873
58.800000	0.584604	0.711992
58.900000	0.554047	0.709085
59.000000	0.524216	0.706151
59.100000	0.495110	0.703191
59.200000	0.466727	0.700205
59.300000	0.439064	0.697193
59.400000	0.412117	0.694155
59.500000	0.385882	0.691093
59.600000	0.360354	0.688005
59.700000	0.335528	0.684892
59.800000	0.311397	0.681755
59.900000	0.287953	0.678593
60.000000	0.265191	0.675407
60.100000	0.243101	0.672197
60.200000	0.221675	0.668964
