N1	N2	time	environment	abf_1	abf_2
1711.480617	0.000000	50.000000	47.218291	-0.015786	-0.209269
1866.478376	0.000000	50.250000	49.344888	0.216503	-0.316955
1931.720024	0.000000	50.500000	49.344888	0.083618	-0.370109
1957.233635	0.000000	50.750000	49.344888	0.031604	-0.390915
1966.921814	0.000000	51.000000	49.344888	0.011845	-0.398818
1981.235017	0.000000	51.250000	49.996314	0.017331	-0.409363
1986.580555	0.000000	51.500000	49.996314	0.006426	-0.413725
1988.564505	0.000000	51.750000	49.996314	0.002379	-0.415344
1989.299120	0.000000	52.000000	49.996314	0.000880	-0.415944
1874.518608	0.000000	52.250000	47.784689	-0.144861	-0.335029
1831.624864	0.000000	52.500000	47.784689	-0.057425	-0.300054
1814.770388	0.000000	52.750000	47.784689	-0.023089	-0.286320
1808.017792	0.000000	53.000000	47.784689	-0.009336	-0.280818
1846.731756	0.000000	53.250000	48.258929	0.052684	-0.307587
1862.366905	0.000000	53.500000	48.258929	0.020834	-0.320327
1868.569584	0.000000	53.750000	48.258929	0.008196	-0.325382
1871.012804	0.000000	54.000000	48.258929	0.003218	-0.327374
1885.702769	0.000000	54.250000	48.439751	0.019200	-0.337811
1891.460089	0.000000	54.500000	48.439751	0.007467	-0.342505
1893.701584	0.000000	54.750000	48.439751	0.002898	-0.344332
1894.572008	0.000000	55.000000	48.439751	0.001124	-0.345042
1950.448561	0.000000	55.250000	49.652313	0.070316	-0.384570
1972.006400	0.000000	55.500000	49.652313	0.026357	-0.402153
1980.118631	0.000000	55.750000	49.652313	0.009811	-0.408772
1983.142509	0.000000	56.000000	49.652313	0.003642	-0.411239
1972.142024	0.000000	56.250000	50.780809	-0.013302	-0.403552
1968.056326	0.000000	56.500000	50.780809	-0.004968	-0.400219
1966.531571	0.000000	56.750000	50.780809	-0.001858	-0.398975
1965.961527	0.000000	57.000000	50.780809	-0.000695	-0.398510
1942.101048	0.000000	57.250000	51.258524	-0.029419	-0.381596
1933.151916	0.000000	57.500000	51.258524	-0.011168	-0.374296
1929.760171	0.000000	57.750000	51.258524	-0.004252	-0.371529
1928.469603	0.000000	58.000000	51.258524	-0.001621	-0.370477
1966.127888	0.000000	58.250000	50.141880	0.046510	-0.397092
1980.433859	0.000000	58.500000	50.141880	0.017333	-0.408763
1985.778834	0.000000	58.750000	50.141880	0.006429	-0.413124
1987.763372	0.000000	59.000000	50.141880	0.002381	-0.414743
1975.770851	0.000000	59.250000	50.729245	-0.014456	-0.406308
1971.326483	0.000000	59.500000	50.729245	-0.005390	-0.402682
1969.670817	0.000000	59.750000	50.729245	-0.002012	-0.401331
1969.052833	0.000000	60.000000	50.729245	-0.000752	-0.400827
1968.822001	0.000000	60.250000	45.537125	-0.000281	-0.400638
1968.735757	0.000000	60.500000	45.537125	-0.000105	-0.400568
1968.703530	0.000000	60.750000	45.537125	-0.000039	-0.400542
1968.691488	0.000000	61.000000	45.537125	-0.000015	-0.400532
1559.728317	0.000000	61.250000	45.249353	-0.605614	-0.120759
1404.467441	0.000000	61.500000	45.249353	-0.289749	0.005587
1333.811089	0.000000	61.750000	45.249353	-0.146332	0.062954
1299.033169	0.000000	62.000000	45.249353	-0.075815	0.091160
1550.683879	0.000000	62.250000	47.703695	0.486616	-0.072622
1683.962974	0.000000	62.500000	47.703695	0.216187	-0.180794
1745.246993	0.000000	62.750000	47.703695	0.091596	-0.230630
1771.587793	0.000000	63.000000	47.703695	0.037997	-0.252070
1470.247851	0.000000	63.250000	45.094071	-0.500665	-0.051274
1346.064251	0.000000	63.500000	45.094071	-0.248304	0.049670
1287.099788	0.000000	63.750000	45.094071	-0.128699	0.097512
1257.229221	0.000000	64.000000	45.094071	-0.068164	0.121726
1445.185803	0.000000	64.250000	46.888159	0.391766	0.002253
1547.145958	0.000000	64.500000	46.888159	0.185070	-0.080425
1596.806945	0.000000	64.750000	46.888159	0.084242	-0.120756
1619.725200	0.000000	65.000000	46.888159	0.037677	-0.139382
1445.191092	0.000000	65.250000	45.373172	-0.311169	-0.024891
1367.926227	0.000000	65.500000	45.373172	-0.154268	0.037869
1330.635881	0.000000	65.750000	45.373172	-0.078630	0.068124
1311.889757	0.000000	66.000000	45.373172	-0.040628	0.083325
1398.867283	0.000000	66.250000	46.199970	0.181172	0.028654
1444.369279	0.000000	66.500000	46.199970	0.088927	-0.008244
1467.043875	0.000000	66.750000	46.199970	0.042928	-0.026644
1478.069383	0.000000	67.000000	46.199970	0.020553	-0.035594
1497.234158	0.000000	67.250000	46.316007	0.035205	-0.049122
1506.393443	0.000000	67.500000	46.316007	0.016611	-0.056559
1510.727276	0.000000	67.750000	46.316007	0.007812	-0.060079
1512.768170	0.000000	68.000000	46.316007	0.003669	-0.061736
1593.766406	0.000000	68.250000	47.007291	0.139558	-0.116531
1631.818654	0.000000	68.500000	47.007291	0.062255	-0.147452
1648.965030	0.000000	68.750000	47.007291	0.027403	-0.161393
1656.545726	0.000000	69.000000	47.007291	0.011990	-0.167558
1671.891922	0.000000	69.250000	47.114654	0.024019	-0.178500
1678.592794	0.000000	69.500000	47.114654	0.010392	-0.183951
1681.496869	0.000000	69.750000	47.114654	0.004486	-0.186313
1682.751370	0.000000	70.000000	47.114654	0.001935	-0.187334
1485.718107	0.000000	70.250000	45.490670	-0.335597	-0.055405
1400.951955	0.000000	70.500000	45.490670	-0.163386	0.013480
1360.831124	0.000000	70.750000	45.490670	-0.081978	0.046043
1340.986147	0.000000	71.000000	45.490670	-0.041736	0.062140
1452.887329	0.000000	71.250000	46.533690	0.223400	-0.009488
1510.585155	0.000000	71.500000	46.533690	0.106378	-0.056296
1538.552005	0.000000	71.750000	46.533690	0.049607	-0.079005
1551.701540	0.000000	72.000000	46.533690	0.022904	-0.089686
1655.264635	0.000000	72.250000	47.408049	0.170308	-0.161042
1702.903703	0.000000	72.500000	47.408049	0.073475	-0.199775
1723.697472	0.000000	72.750000	47.408049	0.031180	-0.216693
1732.565131	0.000000	73.000000	47.408049	0.013138	-0.223910
1759.409771	0.000000	73.250000	47.634151	0.039132	-0.242968
1770.683911	0.000000	73.500000	47.634151	0.016186	-0.252147
1775.358861	0.000000	73.750000	47.634151	0.006669	-0.255954
1777.287131	0.000000	74.000000	47.634151	0.002744	-0.257524
1579.622465	0.000000	74.250000	45.937236	-0.309717	-0.122972
1498.006661	0.000000	74.500000	45.937236	-0.143767	-0.056591
1461.026556	0.000000	74.750000	45.937236	-0.068664	-0.026550
1443.569096	0.000000	75.000000	45.937236	-0.033229	-0.012376
1427.813587	0.000000	75.250000	45.876179	-0.030470	-0.000738
1420.165560	0.000000	75.500000	45.876179	-0.014953	0.005469
1416.421989	0.000000	75.750000	45.876179	-0.007358	0.008507
1414.582104	0.000000	76.000000	45.876179	-0.003626	0.010000
1168.869660	0.000000	76.250000	43.728403	-0.557635	0.160657
1051.967050	0.000000	76.500000	43.728403	-0.320699	0.255431
988.704361	0.000000	76.750000	43.728403	-0.192712	0.306626
952.074155	0.000000	77.000000	43.728403	-0.118680	0.336239
1106.904609	0.000000	77.250000	45.553297	0.462383	0.252760
1207.622071	0.000000	77.500000	45.553297	0.258971	0.171395
1266.733000	0.000000	77.750000	45.553297	0.139396	0.123566
1299.350540	0.000000	78.000000	45.553297	0.073354	0.097149
1268.523794	0.000000	78.250000	45.137479	-0.069486	0.113508
1252.492474	0.000000	78.500000	45.137479	-0.037008	0.126500
1244.010683	0.000000	78.750000	45.137479	-0.019829	0.133371
1239.482274	0.000000	79.000000	45.137479	-0.010658	0.137040
1365.638246	0.000000	79.250000	46.261511	0.276943	0.056648
1434.530699	0.000000	79.500000	46.261511	0.137360	0.000815
1469.509316	0.000000	79.750000	46.261511	0.066415	-0.027563
1486.612815	0.000000	80.000000	46.261511	0.031708	-0.041446
1494.821931	0.000000	80.250000	45.308366	0.015045	-0.048111
1498.726880	0.000000	80.500000	45.308366	0.007118	-0.051282
1500.576482	0.000000	80.750000	45.308366	0.003363	-0.052784
1501.450784	0.000000	81.000000	45.308366	0.001588	-0.053494
1368.726513	0.000000	81.250000	45.165764	-0.258669	0.032825
1306.628351	0.000000	81.500000	45.165764	-0.132677	0.083221
1275.515821	0.000000	81.750000	45.165764	-0.069611	0.108448
1259.393333	0.000000	82.000000	45.165764	-0.036946	0.121514
1592.606266	0.000000	82.250000	48.559590	0.642567	-0.098703
1773.255648	0.000000	82.500000	48.559590	0.275979	-0.245338
1854.239525	0.000000	82.750000	48.559590	0.111207	-0.311247
1887.429165	0.000000	83.000000	48.559590	0.043600	-0.338290
1692.587581	0.000000	83.250000	46.502494	-0.277569	-0.204831
1615.969040	0.000000	83.500000	46.502494	-0.121621	-0.142451
1583.055935	0.000000	83.750000	46.502494	-0.054704	-0.115684
1568.384313	0.000000	84.000000	46.502494	-0.024888	-0.103758
1459.551289	0.000000	84.250000	45.666074	-0.196511	-0.030587
1410.048322	0.000000	84.500000	45.666074	-0.096000	0.009617
1386.260980	0.000000	84.750000	45.666074	-0.047739	0.028922
1374.529441	0.000000	85.000000	45.666074	-0.023945	0.038439
1225.695046	0.000000	85.250000	44.432801	-0.332349	0.132221
1152.310135	0.000000	85.500000	44.432801	-0.183632	0.191708
1113.113227	0.000000	85.750000	44.432801	-0.104288	0.223445
1091.280550	0.000000	86.000000	44.432801	-0.060121	0.241112
1155.541062	0.000000	86.250000	45.163265	0.171971	0.205523
1193.332159	0.000000	86.500000	45.163265	0.095547	0.174954
1214.696639	0.000000	86.750000	45.163265	0.052316	0.157661
1226.505854	0.000000	87.000000	45.163265	0.028413	0.148100
1535.963922	0.000000	87.250000	48.045868	0.624107	-0.057134
1707.358156	0.000000	87.500000	48.045868	0.276498	-0.196177
1786.681635	0.000000	87.750000	48.045868	0.115213	-0.260691
1820.330211	0.000000	88.000000	48.045868	0.046719	-0.288089
1607.138374	0.000000	88.250000	46.024067	-0.324387	-0.143737
1520.769725	0.000000	88.500000	46.024067	-0.148719	-0.073470
1482.144963	0.000000	88.750000	46.024067	-0.070258	-0.042085
1464.112745	0.000000	89.000000	46.024067	-0.033649	-0.027442
1386.819400	0.000000	89.250000	45.456514	-0.151507	0.024255
1349.842571	0.000000	89.500000	45.456514	-0.076491	0.054261
1331.421942	0.000000	89.750000	45.456514	-0.039142	0.069201
1322.060310	0.000000	90.000000	45.456514	-0.020166	0.076791
1419.184034	0.000000	90.250000	46.328345	0.199151	0.014410
1469.746296	0.000000	90.500000	46.328345	0.096631	-0.026598
1494.683461	0.000000	90.750000	46.328345	0.046030	-0.046838
1506.654406	0.000000	91.000000	46.328345	0.021731	-0.056558
1600.181003	0.000000	91.250000	47.092802	0.161028	-0.120520
1644.257850	0.000000	91.500000	47.092802	0.071485	-0.156338
1664.051564	0.000000	91.750000	47.092802	0.031248	-0.172433
1672.747310	0.000000	92.000000	47.092802	0.013566	-0.179505
1793.391833	0.000000	92.250000	48.318855	0.176967	-0.263633
1845.374565	0.000000	92.500000	48.318855	0.071159	-0.305956
1866.505096	0.000000	92.750000	48.318855	0.028117	-0.323173
1874.890016	0.000000	93.000000	48.318855	0.011032	-0.330007
1567.109837	0.000000	93.250000	45.556608	-0.468810	-0.120299
1445.466758	0.000000	93.500000	45.556608	-0.221405	-0.021337
1390.149098	0.000000	93.750000	45.556608	-0.109097	0.023586
1363.400950	0.000000	94.000000	45.556608	-0.054837	0.045290
1348.388150	0.000000	94.250000	45.542296	-0.031407	0.057180
1340.806395	0.000000	94.500000	45.542296	-0.016037	0.063328
1336.945978	0.000000	94.750000	45.542296	-0.008211	0.066458
1334.972166	0.000000	95.000000	45.542296	-0.004210	0.068058
1418.798614	0.000000	95.250000	46.265106	0.170909	0.013634
1462.100109	0.000000	95.500000	46.265106	0.083105	-0.021487
1483.453808	0.000000	95.750000	46.265106	0.039777	-0.038819
1493.743180	0.000000	96.000000	46.265106	0.018893	-0.047172
1577.604416	0.000000	96.250000	46.944985	0.146831	-0.104313
1617.400277	0.000000	96.500000	46.944985	0.066000	-0.136645
1635.481192	0.000000	96.750000	46.944985	0.029254	-0.151344
1643.533428	0.000000	97.000000	46.944985	0.012885	-0.157891
1466.388634	0.000000	97.250000	45.464031	-0.309416	-0.040235
